Date,Acres_Burned,Containment
2017-12-27T00:00:00Z,281893,91
2017-12-28T00:00:00Z,281893,91
2017-12-29T00:00:00Z,281893,92
2017-12-30T00:00:00Z,281893,92
2017-12-31T00:00:00Z,281893,92
2018-01-01T00:00:00Z,281893,92
2018-01-02T00:00:00Z,281893,92
2018-01-03T00:00:00Z,281893,92
2018-01-04T00:00:00Z,281893,92
2018-01-05T00:00:00Z,281893,92
2018-01-06T00:00:00Z,281893,92
2018-01-07T00:00:00Z,281893,92
2018-01-08T00:00:00Z,281893,92
2018-01-09T00:00:00Z,281893,92
2018-01-10T00:00:00Z,281893,92
2018-01-11T00:00:00Z,281893,92
2018-01-12T00:00:00Z,281893,100
2017-12-24T00:00:00Z,281620,86
2017-12-25T00:00:00Z,281620,86
2017-12-26T00:00:00Z,281620,88
2017-12-22T00:00:00Z,273400,65
2017-12-23T00:00:00Z,273400,70
2017-12-21T00:00:00Z,272600,65
2017-12-19T00:00:00Z,272000,55
2017-12-20T00:00:00Z,272000,60
2017-12-18T00:00:00Z,271000,50
2017-12-17T00:00:00Z,270000,45
2017-12-16T00:00:00Z,267500,40
2017-12-15T00:00:00Z,256000,35
2017-12-14T00:00:00Z,249500,35
2017-12-13T00:00:00Z,238500,30
2017-12-11T00:00:00Z,231700,20
2017-12-10T00:00:00Z,230000,10
2017-12-09T00:00:00Z,155000,15
2017-12-08T00:00:00Z,143000,10
2017-12-07T00:00:00Z,115000,5
2017-12-06T00:00:00Z,90000,5
2017-12-05T00:00:00Z,50000,0
2017-12-12T00:00:00Z,23600,25
